LGA_CODE,LGA_NAME,s_mean_nonstrata,s_mean_strata,s_median_nonstrata,s_median_strata,s_mean_sales,s_median_sales,r_one_br,r_two_br,r_three_br,r_four_or_more_br,r_bedsitter,r_not_specified,r_flat,r_house,r_other,r_townhouse,r_weekly_rent_median,Age_below_15_yr,Age_15_64_yr,Age_over_65_yr,Age_below_15_yr_perc,Age_15_64_yr_perc,Age_over_65_yr_perc,BP_Aus,BP_Non_Aus,BP_Aus_Perc,BP_Non_Aus_Perc,SE_Yr10_above,SE_Yr9_below,SE_Yr10_above_Perc,SE_Yr9_below_Perc,MS_Married,MS_Separated,MS_Divorced,MS_Widowed,MS_Never_Married,MS_Single,MS_Married_Perc,MS_Separated_Perc,MS_Divorced_Perc,MS_Widowed_Perc,MS_Never_Married_Perc,MS_Single_Perc,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_fam_inc_weekly,Median_tot_hhd_inc_weekly,Average_household_size,P_Afghanistan_Tot,P_Australia_Tot,P_Bangladesh_Tot,P_Bosnia_Herzegov_Tot,P_Cambodia_Tot,P_Canada_Tot,P_Chile_Tot,P_China_Tot,P_Croatia_Tot,P_Egypt_Tot,P_England_Tot,P_Fiji_Tot,P_France_Tot,P_Germany_Tot,P_Greece_Tot,P_Hong_Kong_Tot,P_India_Tot,P_Indonesia_Tot,P_Iran_Tot,P_Iraq_Tot,P_Ireland_Tot,P_Italy_Tot,P_Japan_Tot,P_Korea_South_Tot,P_Lebanon_Tot,P_Malaysia_Tot,P_Malta_Tot,P_Mauritius_Tot,P_Myanmar_Tot,P_Nepal_Tot,P_Netherlands_Tot,P_New_Zealand_Tot,P_Nthern_Ireland_Tot,P_Pakistan_Tot,P_PNG_Tot,P_Philippines_Tot,P_Poland_Tot,P_Scotland_Tot,P_Singapore_Tot,P_South_Africa_Tot,P_SE_Europe_nfd_Tot,P_Sri_Lanka_Tot,P_Taiwan_Tot,P_Thailand_Tot,P_FYROM_Tot,P_Turkey_Tot,P_USA_Tot,P_Vietnam_Tot,P_Wales_Tot,P_Zimbabwe_Tot,P_Elsewhere_Tot,P_COB_NS_Tot,P_Y12e_Tot,P_Y11e_Tot,P_Y10e_Tot,P_Y9e_Tot,P_Y8b_Tot,P_DNGTS_Tot,P_Hghst_yr_schl_ns_Tot,pct_no_pincome,pct_pincome_1_499,pct_pincome_500_999,pct_pincome_1_999,pct_pincome_1000_1499,pct_pincome_1500_1999,pct_pincome_1000_1999,pct_pincome_2000_2999,pct_pincome_3000_more,pct_pincome_ns,pct_no_fincome,pct_fincome_1_499,pct_fincome_500_999,pct_fincome_1_999,pct_fincome_1000_1499,pct_fincome_1500_1999,pct_fincome_1000_1999,pct_fincome_2000_2999,pct_fincome_3000_3999,pct_fincome_4000_more,pct_fincome_ns,pct_no_hincome,pct_hincome_1_499,pct_hincome_500_999,pct_hincome_1_999,pct_hincome_1000_1499,pct_hincome_1500_1999,pct_hincome_1000_1999,pct_hincome_2000_2999,pct_hincome_3000_3999,pct_hincome_4000_more,pct_part_hincome,pct_hincome_ns,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_P,pct_pgrad,pct_grad_cert_dip,pct_bach_deg,pct_adv_dip,pct_cert_iii_iv,pct_cert_i_ii,pct_others,land_area,bus_stop,coach_stop,light_rail,train_station,wharf,all_bus_stops,all_train_stations,all_transpo,ntl17_count,ntl17_min,ntl17_mean,ntl17_max,ntl17_sum,ntl19_count,ntl19_min,ntl19_mean,ntl19_max,ntl19_sum
LGA11800,Coffs Harbour,546.8915400000002,356.17824,512.25,342.5,490.92132999999995,459.0,260.0,320.0,400.0,480.0,0.0,390.0,310.0,415.0,340.0,360.0,380.0,13356,44209,15375,18.310940499040306,60.6100904853304,21.078969015629283,57154,10145,84.92548180507883,15.074518194921172,45162,8599,84.00513383307602,15.99486616692398,27894,2481,6815,4026,18379,31701,46.80594009564561,4.1631009312861815,11.435523114355233,6.755600302038761,30.839835556674213,53.194059904354404,44,566,1346,1107,2.4,137,57154,23,10,10,135,12,129,24,52,2509,77,56,374,21,59,1041,43,44,13,158,134,67,59,19,121,45,13,307,11,240,1037,64,65,93,302,64,318,26,307,27,27,115,131,0,12,229,48,65,48,1209,5642,22890,3845,16907,4521,2858,347,5740,6.603678593005303,34.151171376787275,27.71363361750688,61.864804994294154,11.759079009196482,5.675639390481305,17.434718399677788,2.6481841981607035,1.334161240518225,10.114452574343828,0.9025364386119612,5.975413662534363,23.678614035997718,29.654027698532087,20.08402925462939,13.086778359873435,33.17080761450283,16.63986721302972,5.508584470148866,3.272991337724985,1.701333056693812,0.007954376005934327,10.810720117156198,17.032178493226258,27.842898610382463,12.218231455868606,7.621221945945518,19.839453401814122,9.186271251009222,3.21015888810921,1.9317770300126218,5.059293050527709,1.978263643034316,7.3,53.6,49.7,3.515679932498945,2.638166221347209,18.641541274082407,15.280551258613414,32.91520180002813,7.143861622837857,19.86499789059204,1173.7437,220.0,1.0,0.0,2.0,0.0,221.0,2.0,223.0,6329,0.059999998658895486,0.5587517528440512,37.22999954223633,3536.33984375,6329,0.10999999940395357,0.5644556709442645,29.489999771118164,3572.43994140625
LGA12000,Coolamon,223.25882,0.0,200.0,0.0,223.25882,200.0,,,,,,,0.0,260.0,0.0,0.0,250.0,883,2418,1014,20.463499420625727,56.037079953650064,23.49942062572422,3645,164,95.69440798109741,4.3055920189025985,2348,613,79.29753461668355,20.70246538331645,1842,136,250,258,935,1579,53.84390529085062,3.975445776088863,7.307804735457468,7.541654486992107,27.33118971061093,46.15609470914937,44,594,1418,1169,2.5,0,3645,0,0,0,7,0,0,0,0,60,0,0,9,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,10,18,3,7,0,0,0,6,3,3,0,0,0,0,0,0,5,0,0,0,12,501,988,197,1076,349,195,7,455,7.511600928074245,30.68445475638051,23.98491879350348,54.66937354988399,12.209976798143849,6.728538283062644,18.938515081206496,2.668213457076566,2.320185614849188,13.89211136890951,0.4472271914132379,6.171735241502684,21.109123434704827,27.280858676207515,19.051878354203936,12.522361359570661,31.5742397137746,16.100178890876567,6.9767441860465125,4.382826475849732,2.415026833631485,0.007933674155389758,9.729189885293756,12.944415727214867,22.67360561250863,10.439044941302313,6.3469393243118075,16.785984265614122,8.351235953041849,3.7162999991036236,1.962540448964835,4.885473032529483,2.7141516847386016,5.5,53.1,50.3,2.489406779661017,1.8538135593220342,14.194915254237287,11.917372881355933,34.057203389830505,7.3093220338983045,28.177966101694924,2430.9037,20.0,6.0,0.0,1.0,0.0,26.0,1.0,27.0,13764,0.03999999910593033,0.1958522203529134,9.90999984741211,2695.7099609375,13764,0.14000000059604645,0.2781516809305525,10.199999809265137,3828.479736328125
LGA12150,Coonamble,128.64286,0.0,118.0,0.0,128.64286,118.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,200.0,794,2348,783,20.22929936305732,59.82165605095542,19.949044585987263,3160,104,96.81372549019608,3.1862745098039214,1926,597,76.33769322235435,23.662306777645654,1293,109,224,246,1250,1829,41.41575912876361,3.4913516976297245,7.174887892376683,7.879564381806532,40.03843689942345,58.58424087123638,43,519,1218,976,2.4,0,3160,0,0,0,0,0,3,0,0,24,0,0,13,3,0,11,3,0,0,3,3,0,0,0,0,0,0,0,0,3,15,0,3,0,3,5,5,0,3,0,10,0,0,0,0,0,3,0,0,3,658,849,198,809,281,268,28,599,6.252003847386982,33.02340493747997,23.244629689002885,56.26803462648285,10.22763706316127,4.26418723949984,14.49182430266111,1.6030779095864058,1.795447258736775,19.589612055145878,1.5538290788013318,7.880133185349612,23.97336293007769,31.853496115427298,18.64594894561598,10.765815760266369,29.411764705882355,13.873473917869036,4.5504994450610425,2.6637069922308547,4.217536071032186,0.011205821464388643,13.243243548822939,15.840956706476671,29.08420025529961,11.664241433386358,6.621621774411469,18.285863207797828,6.978170639187473,2.546777605542873,1.1715176985497218,6.061330701192039,3.922037512536025,9.0,50.0,45.4,1.7510944340212633,1.1882426516572857,12.070043777360851,9.81863664790494,27.45465916197623,6.00375234521576,41.713570981863654,9916.0536,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,53863,0.059999998658895486,0.20603791679817315,20.84000015258789,11097.8203125,53863,0.10999999940395357,0.2437840526834283,14.770000457763672,13130.9404296875
LGA13510,Gundagai,268.97614,0.0,244.0,0.0,268.97614,244.0,140.0,200.0,250.0,280.0,0.0,0.0,170.0,250.0,0.0,0.0,227.5,2019,6248,2874,18.122251144421504,56.08114172874966,25.796607126828828,9536,615,93.94148359767509,6.058516402324893,6520,1671,79.59956049322427,20.40043950677573,4681,264,822,761,2594,4441,51.315500986625736,2.8941021705766277,9.01118175838632,8.342468756851567,28.43674632755975,48.684499013374264,47,539,1280,964,2.3,0,9536,0,0,0,10,0,15,0,0,187,3,0,28,3,7,31,5,0,0,10,4,0,0,5,7,6,3,0,3,16,76,3,0,8,39,4,24,3,7,0,5,17,3,0,0,16,11,0,0,46,990,2800,560,2975,854,672,29,914,6.247944755014798,35.87635646169024,27.32653732324893,63.20289378493918,10.96130658774526,4.822974898607914,15.784281486353171,2.4772552888304284,1.6441959881617891,10.643428696700648,0.8437394532568343,6.479919001012488,24.63719203509957,31.11711103611205,19.439757003037464,12.082348970637867,31.522105973675327,15.254809314883564,4.589942625717178,3.3074586567667903,2.463719203509956,0.01067562023028232,13.451281490155726,18.132130360356435,31.58341185051216,11.496821786457884,6.848820978504198,18.345642764962076,7.735718659173805,2.5457248241442456,1.7245232679686826,5.682714768734898,2.677117073132336,5.5,50.8,48.1,2.146013044393015,1.7041868293709237,13.65453397853987,13.612455291394909,35.851041447506844,7.553124342520514,25.478645066273927,3981.4173,5.0,6.0,0.0,1.0,0.0,11.0,1.0,12.0,22600,0.07999999821186066,0.2396119676438053,16.84000015258789,5415.23046875,22600,0.10000000149011612,0.2898353887237279,18.61000061035156,6550.27978515625
LGA12350,Cowra,225.25,0.0,214.0,0.0,225.25,214.0,0.0,180.0,250.0,315.0,0.0,0.0,172.5,250.0,0.0,0.0,245.0,2166,7201,3102,17.371080279092148,57.75122303312215,24.87769668778571,10532,754,93.3191564770512,6.680843522948786,7122,2041,77.72563570882899,22.27436429117101,4884,409,1034,843,3138,5424,47.38067520372526,3.96779200620877,10.031043849437332,8.178114086146682,30.442374854481958,52.61932479627474,47,509,1225,959,2.3,0,10532,0,3,3,9,3,19,12,0,203,7,8,39,3,6,19,5,0,0,18,19,4,5,0,6,8,0,0,0,38,72,6,0,3,28,3,24,5,32,3,6,10,0,0,0,16,10,8,8,82,1169,2886,586,3398,1076,813,39,1122,6.434394409937887,37.412655279503106,26.92158385093168,64.33423913043478,10.034937888198758,4.784549689440993,14.819487577639752,1.9021739130434785,1.2616459627329193,11.24805900621118,0.6682867557715675,7.806804374240582,25.78979343863913,33.59659781287971,21.2636695018226,11.330498177399758,32.59416767922236,14.671931956257596,4.434993924665856,2.764277035236938,2.2478736330498177,0.007407198068476352,14.103305122378972,18.399480002095252,32.50278512447423,12.325577585944648,6.888694203683008,19.214271789627656,7.688671595078452,2.4147465703232904,1.3777388407366014,4.607277198592291,2.8443640582949192,6.5,50.0,46.7,1.873226111636708,1.8353831598864712,13.755912961210976,12.582781456953642,36.783349101229895,7.587511825922422,25.58183538315989,2808.7822,46.0,1.0,0.0,0.0,0.0,47.0,0.0,47.0,15746,0.07999999821186066,0.2374393633204465,21.149999618530273,3738.72021484375,15746,0.119999997317791,0.287855317173806,20.670000076293945,4532.56982421875
LGA12380,Cumberland,979.63626,562.0175,912.5,560.0,777.61983,730.0,320.0,440.0,520.0,650.0,0.0,435.0,450.0,510.0,450.0,540.0,475.0,44366,147598,24116,20.532210292484265,68.30710847834135,11.160681229174381,90056,112879,44.3767708872299,55.6232291127701,132846,26169,83.54306197528534,16.456938024714653,91536,5430,11355,7946,55455,80186,53.304760019100634,3.1620875601262504,6.612431721037492,4.627246363308138,32.29347433642748,46.695239980899366,32,501,1436,1379,3.2,6137,90056,991,463,358,121,426,14131,814,829,1369,1800,71,345,668,1232,14307,833,2417,2921,274,1297,135,4369,10587,975,1383,265,863,4933,100,2695,58,4653,53,4023,326,262,275,290,179,4856,830,655,127,3571,276,4738,52,132,9422,13142,97509,5895,23942,6730,11382,6485,12518,15.18624641833811,30.79705080718429,23.445616977659746,54.24266778484404,12.799054208307126,5.921098609266895,18.720152817574018,2.9573461923730986,0.9801523516667832,7.913434435203952,2.5485025428517614,7.376153701262008,19.42550386136749,26.801657562629494,17.615370126200787,12.87436428705971,30.489734413260496,18.293463929176873,6.9900169523450755,4.569598794499906,1.6500282539084574,0.013645260105896314,7.486555182842215,10.873889910715306,18.36044509355752,9.594940651995868,7.275904716700191,16.870845368696067,10.34162132216001,4.3164537481780885,3.0008287386571424,5.0452667448748265,1.3673472221897478,9.5,55.9,50.6,11.185744421005884,1.9107360941489957,29.155101587654052,16.157433107582992,18.629954479849005,4.860663928055955,18.10036638170312,71.5511,1371.0,0.0,0.0,10.0,0.0,1371.0,10.0,1381.0,402,5.289999961853027,26.825571847792286,100.0199966430664,10783.8798828125,402,5.9099998474121085,26.84790889303483,100.9000015258789,10792.859375
LGA18230,Western Plains Regional,344.15301,310.70833,333.0,337.5,342.39276,333.0,180.0,250.0,320.0,390.0,0.0,255.0,230.0,330.0,285.0,340.0,317.5,10372,31382,8328,20.710035541711594,62.66123557365921,16.628728884629208,42080,3607,92.10497515704687,7.895024842953139,29265,5640,83.84185646755479,16.158143532445212,18254,1489,3404,2456,14091,21440,45.9867990124452,3.751196654406207,8.575603365747973,6.187333098201238,35.499067869199365,54.0132009875548,37,660,1525,1272,2.5,7,42080,67,0,8,25,8,175,7,34,527,44,19,76,28,26,371,27,27,9,43,41,9,49,27,43,8,5,9,208,66,397,28,72,15,213,14,70,21,95,9,142,23,31,10,7,67,56,10,82,265,4391,14500,2319,11447,2918,1997,133,4708,6.1738342229831815,28.527545573572365,26.765031725249273,55.292577298821634,13.490784570450197,7.377379393695237,20.868163964145428,3.706314835330849,1.5384228018934434,12.420686876825462,0.6806489908982983,5.880490700435299,18.789077958053028,24.669568658488327,17.570241392956074,13.177681044717055,30.74792243767313,19.303521962801746,7.3209339137316976,4.463791056588841,2.1290067273446773,0.00711886048924802,9.400042303482193,13.773618471462193,23.17366077494439,11.228920826963039,8.125726945185862,19.354647772148898,10.733353743181134,4.200520995865683,2.4306385537874458,5.773749833268561,2.3480440398237947,5.9,59.3,55.8,3.4670116429495472,2.4752048296679603,17.490297542043983,12.302716688227685,33.803363518758076,6.373436826218198,24.087968952134545,7534.5251,137.0,5.0,0.0,4.0,0.0,142.0,4.0,146.0,41627,0.05000000074505806,0.3021246070008648,68.36000061035156,12576.541015625,41627,0.10000000149011612,0.3457738798586254,55.63000106811523,14393.529296875
LGA12700,Dungog,594.2710500000002,0.0,525.0,0.0,594.2710500000002,525.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,355.0,0.0,0.0,345.0,1661,5512,1796,18.51934440851823,61.456126658490355,20.024528932991416,7772,434,94.711186936388,5.288813063611991,5473,1132,82.86146858440577,17.138531415594247,3953,212,705,426,2024,3367,54.002732240437155,2.8961748633879782,9.631147540983608,5.819672131147541,27.650273224043712,45.99726775956285,45,578,1474,1226,2.5,0,7772,0,0,0,3,0,7,3,0,191,0,3,28,0,3,3,3,0,0,10,8,0,3,0,8,0,0,0,0,14,49,0,0,0,12,0,17,0,13,0,0,0,0,0,0,17,0,6,4,29,763,2307,430,2559,620,394,13,680,7.931316434995912,32.39302262196784,24.434450804033798,56.827473426001646,12.25129463068956,6.827473426001634,19.0787680566912,3.9384028345598256,2.2076860179885527,10.016353229762878,0.9307972480777014,6.434641845406718,19.34439498178875,25.77903682719547,17.887494941319304,13.193039255362198,31.080534196681505,18.17078106029948,7.284500202347227,4.694455685957101,1.8615944961554027,0.0070604023308629815,9.021625200547142,13.61088671560808,22.632511916155227,10.669052411081838,7.452646904799813,18.121699315881653,9.217747487515556,4.059731340246214,2.54958973058941,5.138403918572503,1.4120804661725963,5.5,56.2,53.2,3.1561847296356462,2.2511023439313065,15.084706428405662,15.456022278951032,37.20120677651428,6.4980273845439775,20.352750058018106,2249.9983,27.0,0.0,0.0,6.0,0.0,27.0,6.0,33.0,12425,0.03999999910593033,0.22513080435739435,6.869999885559082,2797.250244140625,12425,0.10999999940395357,0.2647862959004024,7.260000228881836,3289.9697265625
LGA12730,Edward River,239.22,0.0,210.0,0.0,239.22,210.0,120.0,190.0,250.0,290.0,0.0,0.0,155.0,260.0,0.0,0.0,220.0,1580,5307,1976,17.82692090714205,59.87814509759674,22.294933995261196,7262,568,92.74584929757343,7.254150702426566,5015,1256,79.97129644394833,20.02870355605167,3420,247,714,588,2299,3848,47.055586130985134,3.3984589983489264,9.823885525591637,8.090258668134286,31.631810676940013,52.944413869014866,45,595,1399,1080,2.3,0,7262,0,0,0,3,0,6,0,3,118,0,0,17,11,4,33,0,0,0,8,22,4,14,0,6,0,0,0,3,20,70,4,3,3,18,0,24,0,28,0,15,52,0,0,4,7,0,3,3,37,1020,2327,704,1825,664,459,41,966,6.221672847136383,31.506661172915805,26.576019777503088,58.082680950418904,12.443345694272766,5.713500892734515,18.156846587007283,2.9254223320972392,1.3322345831616536,13.281142700178547,0.9502262443438914,6.877828054298643,19.32126696832579,26.199095022624434,19.909502262443443,12.986425339366514,32.89592760180995,17.375565610859727,5.656108597285066,3.9819004524886883,2.7601809954751135,0.01266625822644716,12.775450107709636,16.356943813118836,29.132393920828466,12.469712840174706,7.643431688373287,20.113144528547988,9.521532046087867,3.2102413091167805,2.030968991482045,5.21937192434633,3.2102413091167805,5.0,55.1,52.4,2.2767518340500885,2.1502656210473057,14.166455856311662,12.749810270680495,33.645332658740195,6.020743738932456,28.990640020237798,8883.4464,15.0,2.0,0.0,0.0,0.0,17.0,0.0,17.0,50646,0.09000000357627869,0.2203123534558504,25.03000068664551,11157.939453125,50646,0.10000000149011612,0.2795442839451783,18.149999618530273,14157.7998046875
LGA12750,Eurobodalla,480.14523,340.92379,450.0,336.0,453.50409,432.5,205.0,270.0,350.0,400.0,0.0,320.0,260.0,350.0,280.0,325.0,330.0,5312,20542,11379,14.266913759299548,55.17148765879729,30.561598581903148,28881,4969,85.32053175775481,14.6794682422452,23489,4887,82.77769946433607,17.222300535663944,15911,1213,3893,2672,8224,16002,49.85742487387585,3.800958856892176,12.198790461567386,8.372763450631403,25.770062357033186,50.14257512612414,54,512,1184,939,2.2,0,28881,4,8,0,64,30,40,109,11,1836,19,40,317,43,13,77,26,0,0,75,109,8,9,8,27,60,15,5,11,189,454,22,0,14,104,38,246,12,120,38,19,0,27,7,3,114,39,57,15,475,3383,11487,2050,9331,2715,1742,77,3455,5.525260122853203,37.96226651623417,27.50720822364297,65.46947473987714,10.455058292591199,4.124357527892691,14.579415820483892,1.9211483013664288,1.128243700639338,11.376457314779993,0.8254716981132075,7.262185534591196,27.43710691823899,34.699292452830186,23.01493710691824,11.723663522012579,34.73860062893082,12.775157232704403,3.341194968553459,2.2012578616352205,2.2897012578616347,0.00891750378084829,13.522444257843722,20.529750507493905,34.052194765337624,13.780710760786322,6.744166793821878,20.5248775546082,7.017052155421606,2.0807508821979344,1.2036193627702338,4.931428320337962,2.5144436890260757,7.1,43.7,40.7,3.721928492906873,3.229859184421295,15.432131078888133,13.924514474166362,33.93707794587237,7.0198398157357484,22.73464900800921,3428.1695,124.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,19731,0.03999999910593033,0.2322335510269373,23.1200008392334,4582.2001953125,19731,0.119999997317791,0.30541127283050784,17.5,6026.06982421875
LGA12850,Fairfield,861.13634,435.80297,840.0,440.0,771.48273,790.0,270.0,360.0,470.0,580.0,0.0,470.0,350.0,490.0,400.0,460.0,440.0,37933,133441,27439,19.079738246492933,67.11885037698741,13.801411376519642,80775,107149,42.982801558076666,57.017198441923334,113040,36990,75.34493101379725,24.65506898620276,77345,6232,13775,8951,54579,83537,48.075608209743784,3.873646523538991,8.562176004773685,5.5637050757698185,33.92486418617372,51.924391790256216,36,439,1263,1222,3.3,307,80775,80,924,7384,63,1673,4048,1938,430,1027,1372,108,498,454,443,747,469,1550,18752,129,3476,58,96,2472,539,981,205,404,75,120,2807,60,325,21,2381,485,200,96,112,867,212,156,1509,787,652,205,30805,25,55,14582,10892,76178,6394,24142,8365,16271,10494,10644,14.244690174725418,37.9796246915422,22.85788875006993,60.83751344161213,11.1026162194417,4.3305300190824285,15.433146238524127,1.7199047743363107,0.6526563111865292,7.112089059615491,2.5099795540843157,9.469379807224225,23.014312140979452,32.48369194820368,17.54843734787265,12.039723493330733,29.58816084120339,15.433745497030475,5.925421088501606,3.5692727095706362,1.8868659332100088,0.013482765293040912,7.818448540153429,11.45014364720468,19.26859218735811,8.79441799611688,6.257286243064481,15.051704239181364,8.138263232396433,3.4324184751065223,2.3845150154166808,4.659184862980902,1.30647704065227,10.5,49.9,44.7,4.019144627845615,1.199607289685218,22.71890531999755,17.69344051052341,26.636804319813464,7.008958704055962,20.723139228078786,101.507,1192.0,0.0,0.0,6.0,1.0,1192.0,6.0,1198.0,573,1.2300000190734863,17.046980666448516,70.55000305175781,9767.919921875,573,2.0799999237060547,17.607242923756548,69.44999694824219,10088.9501953125
LGA12870,Federation,285.34443999999996,0.0,287.5,0.0,282.92857000000004,280.0,130.0,185.0,260.0,317.5,0.0,0.0,175.0,280.0,0.0,0.0,232.5,2094,6798,3379,17.064623910031777,55.398907994458476,27.536468095509733,10208,845,92.35501673753731,7.644983262462682,7202,1741,80.53225986805323,19.467740131946773,5356,411,950,821,2653,4835,52.556177018938286,4.032970267883426,9.321950740849768,8.056127956039642,26.032774016288887,47.443822981061714,49,559,1299,1017,2.3,0,10208,4,0,0,0,0,11,4,3,296,3,0,46,3,3,23,10,0,0,12,16,5,14,0,3,8,0,3,0,39,106,3,10,8,48,6,51,0,7,3,5,0,7,0,0,10,6,5,3,48,1227,3002,1267,2692,900,711,26,1219,6.016292079693788,33.958190205123174,26.3617626852488,60.31995289037197,12.847188144076945,5.201688095004417,18.048876239081363,2.0904897438413976,1.0108941014819903,12.513494945529493,0.7330482590103848,7.025045815516187,23.701893708002444,30.726939523518627,19.54795357361026,12.09529627367135,31.64324984728161,16.401954795357362,4.6426389737324385,2.2296884544899207,3.298717165546732,0.009090407574923923,12.130478304898482,18.07649899734872,30.2069773022472,12.517938299895238,7.197814522439763,19.715752822335,8.583729119928162,2.473783044979297,1.1325753699905214,5.215807624956349,3.651065337469445,4.9,51.3,48.7,1.8497965223825377,1.979282278949316,12.097669256381796,12.634110247872734,37.51387347391787,6.677765445800962,27.247502774694787,5685.0486,2.0,5.0,0.0,0.0,0.0,7.0,0.0,7.0,32537,0.05000000074505806,0.21931955891081686,27.82999992370605,7136.00048828125,32537,0.12999999523162842,0.28959707770192394,25.96999931335449,9422.6201171875
LGA12900,Forbes,275.46296,0.0,260.0,0.0,275.46296,260.0,0.0,190.0,245.0,0.0,0.0,0.0,185.0,245.0,0.0,0.0,220.0,1947,5554,2086,20.30875143423386,57.932617085636785,21.758631480129342,8216,386,95.51267147175078,4.487328528249244,5392,1332,80.19036287923855,19.80963712076145,3723,301,615,585,2418,3919,48.71761319026433,3.938759487045276,8.047631510075897,7.655064119340486,31.640931693274013,51.28238680973567,42,571,1326,1069,2.4,0,8216,0,0,0,11,0,14,3,0,92,3,0,12,3,3,21,0,5,0,3,19,3,3,0,4,3,0,0,7,13,55,3,0,0,35,0,15,0,17,0,4,0,7,0,0,4,5,5,0,15,984,2408,489,2276,673,512,24,891,7.2570081215614355,32.25045847524234,26.709457689284783,58.95991616452712,11.867959130206971,5.632695834424942,17.50065496463191,2.632957820277705,1.2313335079905685,12.418129421011267,0.9500206526228832,6.402313093762907,22.47005369681949,28.872366790582404,20.57001239157373,11.978521272201572,32.5485336637753,16.150351094589013,5.741429161503512,3.3044196612969845,3.180503923998348,0.00679535075630205,11.891863823528588,16.588650375678533,28.48051419920712,12.391521967374326,6.79535075630205,19.186872723676373,8.873928634700324,3.197812120612729,1.5789197345525352,4.6967865521499474,3.077894166089752,5.4,54.6,51.6,2.2571148184494603,1.9381746810598623,14.425907752698723,12.585868498527969,34.15112855740922,7.458292443572129,27.18351324828263,4710.128,50.0,2.0,0.0,0.0,0.0,52.0,0.0,52.0,26289,0.07999999821186066,0.22190498521244628,28.34000015258789,5833.66015625,26289,0.14000000059604645,0.2733808876811594,25.01000022888184,7186.91015625
LGA12930,Georges River,1487.62567,740.73488,1410.0,724.0,1125.14247,1045.0,420.0,490.0,620.0,800.0,0.0,500.0,480.0,610.0,507.5,630.0,520.0,24616,99699,22524,16.76393873562201,67.896812154809,15.339249109568984,73047,66916,52.19022170144967,47.80977829855035,102487,12648,89.01463499370304,10.985365006296956,64949,2895,8286,6361,39732,57274,53.13975274702797,2.368621290591787,6.779411403745612,5.2044214264091035,32.507793132225515,46.86024725297202,37,640,1817,1654,2.9,9,73047,859,325,71,142,295,23654,701,1317,1934,737,101,297,2299,3602,2144,1579,161,92,285,1140,302,546,1631,1260,220,121,135,4810,113,2179,64,233,75,2248,217,278,351,414,179,209,590,661,1695,124,341,1141,82,90,4834,6878,78893,3836,15977,4221,5233,1806,7002,14.23954574834524,25.98038012485375,22.899127005555414,48.87950713040917,14.32954517562161,8.213675003886339,22.543220179507948,5.138149120869231,2.974890159789892,6.22468766107852,2.5200895127657406,5.419082494151153,14.578883124809275,19.997965618960432,14.835723731054829,12.119825043230595,26.955548774285425,20.58285016783644,9.841318278913642,10.146475434848947,1.2079137422439223,0.014709063820797725,6.058763648014524,9.204904218485408,15.263667866499931,8.877472081663507,7.192084958797299,16.069557040460804,11.526118862854608,5.763059431427304,5.66533743710449,4.879754132093809,1.143474245257873,6.5,60.9,56.9,13.388320597312633,2.5849404978503747,33.721478726128375,15.963827005754796,16.62286553727139,4.847774228763192,12.870793406919232,38.3189,743.0,0.0,0.0,10.0,0.0,743.0,10.0,753.0,213,2.450000047683716,15.585164961120892,54.959999084472656,3319.64013671875,213,2.470000028610229,16.926620268485912,67.27999877929689,3605.3701171875
LGA12950,Gilgandra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,220.0,791,2446,999,18.673276676109534,57.74315391879132,23.583569405099148,3679,158,95.88219963513158,4.117800364868387,2306,745,75.58177646673222,24.418223533267778,1716,119,258,268,1081,1726,49.854735618826254,3.457292271934922,7.495642068564787,7.78617083091226,31.406159209761768,50.145264381173746,45,537,1199,998,2.4,0,3679,0,0,0,0,0,0,0,0,32,3,0,9,4,3,18,0,0,0,3,0,0,0,3,0,0,0,0,0,7,21,0,0,0,13,0,4,0,3,0,0,0,0,0,0,3,0,0,0,17,403,934,195,1099,373,323,9,387,6.785090273733256,34.653465346534645,27.16948165404776,61.82294700058241,10.133954571927779,5.445544554455446,15.579499126383224,1.8345952242283048,1.45602795573675,12.521840419336051,1.3489208633093526,7.553956834532374,24.3705035971223,31.924460431654676,20.593525179856115,10.161870503597124,30.75539568345324,13.758992805755394,5.215827338129497,2.6978417266187047,3.5071942446043165,0.010474802448240159,11.8155771616149,16.29879260946169,28.114369771076586,11.438484273478256,6.4105790983229785,17.849063371801233,7.3742609235610725,2.6815494267494806,1.382673923167701,5.3211996437060005,2.765347846335402,5.8,55.0,51.9,1.9641825534373196,0.8087810514153668,13.864818024263432,10.976314269208551,36.27960716348931,7.4523396880415955,28.653957250144426,4831.5057,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,26448,0.029999999329447743,0.20125530448308945,17.979999542236328,5322.80029296875,26448,0.119999997317791,0.25183266087582235,20.38999938964844,6660.47021484375
